2018-08-14 02:18:04.871        --- [           Thread-29] Starting user insert thread with name = Thread-142
2018-08-14 02:18:04.872        --- [          Thread-141] Validating input.
2018-08-14 02:18:04.872        --- [          Thread-135] Inserted new user with id=5b72741c3af6b069b215a5ce
2018-08-14 02:18:04.872        --- [          Thread-140] Validating input.
2018-08-14 02:18:04.873        --- [          Thread-136] Validating input.
2018-08-14 02:18:04.873        --- [           Thread-30] Starting user insert thread with name = Thread-139
2018-08-14 02:18:04.873        --- [          Thread-138] Validating input.
2018-08-14 02:18:04.873        --- [           Thread-30] Starting user insert thread with name = Thread-148
2018-08-14 02:18:04.874        --- [          Thread-131] Inserted new user with id=5b72741c3af6b069b215a5ca
2018-08-14 02:18:04.874        --- [          Thread-140] Inserted new user with id=5b72741c3af6b069b215a5d1
2018-08-14 02:18:04.875        --- [           Thread-30] Starting user insert thread with name = Thread-149
2018-08-14 02:18:04.875        --- [          Thread-139] Validating input.
2018-08-14 02:18:04.875        --- [          Thread-141] Inserted new user with id=5b72741c3af6b069b215a5d0
2018-08-14 02:18:04.876        --- [          Thread-137] Inserted new user with id=5b72741c3af6b069b215a5cf
2018-08-14 02:18:04.876        --- [           Thread-29] Starting user insert thread with name = Thread-147
2018-08-14 02:18:04.876        --- [          Thread-142] Validating input.
2018-08-14 02:18:04.876        --- [          Thread-143] Validating input.
2018-08-14 02:18:04.876        --- [           Thread-74] Starting user insert thread with name = Thread-146
